Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8418739827946988
Naive Bayes,0.694819020581973,0.45894428152492667,0.8368983957219251,0.5928030303030303,0.807419463173939
Support Vector Machine,0.7913413768630234,0.6418439716312057,0.4839572192513369,0.551829268292683,0.7904905835852127
Decision Tree,0.7288857345635202,0.4896373056994819,0.5053475935828877,0.49736842105263157,0.6572657521506626
