K,Silhouette Score
2,0.23675698248358767
3,0.23884224231255863
4,0.23370294608265554
5,0.19713519826626963
6,0.18353360916182965
7,0.18827864691696047
8,0.15327422669265037
9,0.13872154395080902
10,0.13712736854646823
